date,symbol,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-02-12 00:00:00+00:00,COTY,22.03,22.34,21.92,21.92,877740,19.1937388395,19.4638277656,19.0979008335,19.0979008335,877740,0.0,1.0
2015-02-13 00:00:00+00:00,COTY,22.03,22.3,21.96,22.0,887425,19.1937388395,19.4289775816,19.1327510175,19.1676012015,887425,0.0,1.0
2015-02-17 00:00:00+00:00,COTY,22.29,22.45,22.06,22.13,870359,19.4202650356,19.5596657716,19.2198764775,19.2808642996,870359,0.0,1.0
2015-02-18 00:00:00+00:00,COTY,22.3,22.41,22.24,22.35,409992,19.4289775816,19.5248155876,19.3767023056,19.4725403116,409992,0.0,1.0
2015-02-19 00:00:00+00:00,COTY,22.08,22.41,22.05,22.33,411352,19.2373015695,19.5248155876,19.2111639315,19.4551152196,411352,0.0,1.0
2015-02-20 00:00:00+00:00,COTY,22.23,22.29,21.99,22.1,559304,19.3679897596,19.4202650356,19.1588886555,19.2547266616,559304,0.0,1.0
2015-02-23 00:00:00+00:00,COTY,22.45,22.54,22.2,22.29,957314,19.5596657716,19.6380786856,19.3418521216,19.4202650356,957314,0.0,1.0
2015-02-24 00:00:00+00:00,COTY,22.31,22.6,22.24,22.5,618471,19.4376901276,19.6903539616,19.3767023056,19.6032285016,618471,0.0,1.0
2015-02-25 00:00:00+00:00,COTY,22.41,22.45,22.26,22.29,276509,19.5248155876,19.5596657716,19.3941273976,19.4202650356,276509,0.0,1.0
2015-02-26 00:00:00+00:00,COTY,22.18,22.52,22.04,22.35,411305,19.3244270296,19.6206535936,19.2024513855,19.4725403116,411305,0.0,1.0
2015-02-27 00:00:00+00:00,COTY,22.6,22.64,22.114,22.2,559885,19.6903539616,19.7252041456,19.266924226,19.3418521216,559885,0.0,1.0
2015-03-02 00:00:00+00:00,COTY,23.04,23.12,22.46,22.64,1039168,20.0737059856,20.1434063536,19.5683783176,19.7252041456,1039168,0.0,1.0
2015-03-03 00:00:00+00:00,COTY,22.74,23.07,22.67,23.07,850782,19.8123296056,20.0998436236,19.7513417836,20.0998436236,850782,0.0,1.0
2015-03-04 00:00:00+00:00,COTY,22.69,22.97,22.64,22.72,796839,19.7687668756,20.0127181636,19.7252041456,19.7949045136,796839,0.0,1.0
2015-03-05 00:00:00+00:00,COTY,23.06,23.15,22.76,22.9,976940,20.0911310776,20.1695439916,19.8297546976,19.9517303416,976940,0.0,1.0
2015-03-06 00:00:00+00:00,COTY,22.55,23.18,22.43,23.05,631323,19.6467912316,20.1956816296,19.5422406796,20.0824185316,631323,0.0,1.0
2015-03-09 00:00:00+00:00,COTY,23.16,23.21,22.59,22.59,711937,20.1782565376,20.2218192676,19.6816414156,19.6816414156,711937,0.0,1.0
2015-03-10 00:00:00+00:00,COTY,22.18,22.97,22.175,22.97,1083804,19.3244270296,20.0127181636,19.3200707566,20.0127181636,1083804,0.0,1.0
2015-03-11 00:00:00+00:00,COTY,22.02,22.21,21.7,22.18,848186,19.1850262935,19.3505646676,18.9062248215,19.3244270296,848186,0.0,1.0
2015-03-12 00:00:00+00:00,COTY,22.48,22.51,22.09,22.18,714316,19.5858034096,19.6119410476,19.2460141155,19.3244270296,714316,0.0,1.0
2015-03-13 00:00:00+00:00,COTY,22.28,22.39,22.02,22.39,610189,19.4115524896,19.5073904956,19.1850262935,19.5073904956,610189,0.0,1.0
2015-03-16 00:00:00+00:00,COTY,22.39,22.43,22.1,22.28,1054469,19.5073904956,19.5422406796,19.2547266616,19.4115524896,1054469,0.0,1.0
2015-03-17 00:00:00+00:00,COTY,22.96,22.97,22.25,22.25,989442,20.0040056176,20.0127181636,19.3854148516,19.3854148516,989442,0.0,1.0
2015-03-18 00:00:00+00:00,COTY,23.24,23.52,22.86,23.02,1023750,20.2479569056,20.4919081937,19.9168801576,20.0562808936,1023750,0.0,1.0
2015-03-19 00:00:00+00:00,COTY,23.13,23.32,22.95,23.25,638957,20.1521188996,20.3176572736,19.9952930716,20.2566694516,638957,0.0,1.0
2015-03-20 00:00:00+00:00,COTY,23.64,23.68,23.09,23.11,1055686,20.5964587457,20.6313089297,20.1172687156,20.1346938076,1055686,0.0,1.0
2015-03-23 00:00:00+00:00,COTY,24.42,24.5,23.57,23.64,1018630,21.2760373337,21.3457377017,20.5354709237,20.5964587457,1018630,0.0,1.0
2015-03-24 00:00:00+00:00,COTY,24.48,24.71,24.36,24.37,843886,21.3283126097,21.5287011677,21.2237620577,21.2324746037,843886,0.0,1.0
2015-03-25 00:00:00+00:00,COTY,24.37,24.64,24.32,24.56,931634,21.2324746037,21.4677133457,21.1889118737,21.3980129777,931634,0.0,1.0
2015-03-26 00:00:00+00:00,COTY,23.96,24.0,23.39,23.86,1761188,20.8752602177,20.9101104017,20.3786450956,20.7881347577,1761188,0.0,1.0
2015-03-27 00:00:00+00:00,COTY,24.32,24.46,23.81,23.93,1189444,21.1889118737,21.3108875177,20.7445720277,20.8491225797,1189444,0.0,1.0
2015-03-30 00:00:00+00:00,COTY,24.18,24.57,24.1,24.36,830349,21.0669362297,21.4067255237,20.9972358617,21.2237620577,830349,0.0,1.0
2015-03-31 00:00:00+00:00,COTY,24.27,24.38,24.0,24.02,445332,21.1453491437,21.2411871497,20.9101104017,20.9275354937,445332,0.0,1.0
2015-04-01 00:00:00+00:00,COTY,24.21,24.368,23.95,24.29,831810,21.0930738677,21.2307320945,20.8665476717,21.1627742357,831810,0.0,1.0
2015-04-02 00:00:00+00:00,COTY,23.77,23.99,23.27,23.75,1223180,20.7097218437,20.9013978557,20.2740945436,20.6922967517,1223180,0.0,1.0
2015-04-06 00:00:00+00:00,COTY,24.01,24.13,23.53,23.54,981748,20.9188229477,21.0233734997,20.5006207397,20.5093332857,981748,0.0,1.0
2015-04-07 00:00:00+00:00,COTY,23.63,24.15,23.62,24.15,587745,20.5877461997,21.0407985917,20.5790336537,21.0407985917,587745,0.0,1.0
2015-04-08 00:00:00+00:00,COTY,23.64,23.82,23.26,23.7,1045258,20.5964587457,20.7532845737,20.2653819976,20.6487340217,1045258,0.0,1.0
2015-04-09 00:00:00+00:00,COTY,23.5,23.71,23.29,23.64,596124,20.4744831016,20.6574465677,20.2915196356,20.5964587457,596124,0.0,1.0
2015-04-10 00:00:00+00:00,COTY,23.33,23.66,23.27,23.58,561697,20.3263698196,20.6138838377,20.2740945436,20.5441834697,561697,0.0,1.0
2015-04-13 00:00:00+00:00,COTY,23.52,23.65,23.29,23.37,791102,20.4919081937,20.6051712917,20.2915196356,20.3612200036,791102,0.0,1.0
2015-04-14 00:00:00+00:00,COTY,24.78,24.78,23.4301,23.47,1165045,21.5896889897,21.5896889897,20.4135824051,20.4483454636,1165045,0.0,1.0
2015-04-15 00:00:00+00:00,COTY,24.97,25.13,24.59,24.76,1131092,21.7552273638,21.8946280998,21.4241506157,21.5722638977,1131092,0.0,1.0
2015-04-16 00:00:00+00:00,COTY,25.06,25.49,24.81,25.01,760563,21.8336402778,22.2082797558,21.6158266277,21.7900775478,760563,0.0,1.0
2015-04-17 00:00:00+00:00,COTY,25.07,25.12,24.8,24.92,865886,21.8423528238,21.8859155538,21.6071140817,21.7116646337,865886,0.0,1.0
2015-04-20 00:00:00+00:00,COTY,25.2,25.7597,25.16,25.25,1383997,21.9556159218,22.4432571214,21.9207657378,21.9991786518,1383997,0.0,1.0
2015-04-21 00:00:00+00:00,COTY,25.16,25.45,25.08,25.34,1060893,21.9207657378,22.1734295718,21.8510653698,22.0775915658,1060893,0.0,1.0
2015-04-22 00:00:00+00:00,COTY,24.96,25.24,24.895,25.24,619674,21.7465148178,21.9904661058,21.6898832687,21.9904661058,619674,0.0,1.0
2015-04-23 00:00:00+00:00,COTY,25.0,25.18,24.83,24.9,862084,21.7813650018,21.9381908298,21.6332517197,21.6942395417,862084,0.0,1.0
2015-04-24 00:00:00+00:00,COTY,24.78,25.19,24.76,25.12,580785,21.5896889897,21.9469033758,21.5722638977,21.8859155538,580785,0.0,1.0
2015-04-27 00:00:00+00:00,COTY,24.75,25.0,24.56,24.88,576597,21.5635513517,21.7813650018,21.3980129777,21.6768144497,576597,0.0,1.0
2015-04-28 00:00:00+00:00,COTY,24.5,24.76,24.44,24.71,518729,21.3457377017,21.5722638977,21.2934624257,21.5287011677,518729,0.0,1.0
2015-04-29 00:00:00+00:00,COTY,24.28,24.515,24.21,24.46,543379,21.1540616897,21.3588065207,21.0930738677,21.3108875177,543379,0.0,1.0
2015-04-30 00:00:00+00:00,COTY,23.91,24.25,23.78,24.25,1008846,20.8316974877,21.1279240517,20.7184343897,21.1279240517,1008846,0.0,1.0
2015-05-01 00:00:00+00:00,COTY,24.53,24.54,23.985,24.01,388196,21.3718753397,21.3805878857,20.8970415827,20.9188229477,388196,0.0,1.0
2015-05-04 00:00:00+00:00,COTY,24.75,24.8,24.49,24.65,593999,21.5635513517,21.6071140817,21.3370251557,21.4764258917,593999,0.0,1.0
2015-05-05 00:00:00+00:00,COTY,24.65,24.83,24.5,24.79,873888,21.4764258917,21.6332517197,21.3457377017,21.5984015357,873888,0.0,1.0
2015-05-06 00:00:00+00:00,COTY,24.22,24.79,23.98,24.75,1221853,21.1017864137,21.5984015357,20.8926853097,21.5635513517,1221853,0.0,1.0
2015-05-07 00:00:00+00:00,COTY,24.68,25.642,24.67,24.78,2915454,21.5025635297,22.340710455,21.4938509837,21.5896889897,2915454,0.0,1.0
2015-05-08 00:00:00+00:00,COTY,23.87,25.13,23.79,25.0,2758299,20.7968473037,21.8946280998,20.7271469357,21.7813650018,2758299,0.0,1.0
2015-05-11 00:00:00+00:00,COTY,23.69,24.05,23.3902,23.95,2008094,20.6400214757,20.9536731317,20.3788193466,20.8665476717,2008094,0.0,1.0
2015-05-12 00:00:00+00:00,COTY,23.6,23.79,23.41,23.62,1522336,20.5616085617,20.7271469357,20.3960701876,20.5790336537,1522336,0.0,1.0
